station;lat;long;glacier_dist
st1;78.89745;12.3253333333333;6.22
st2;78.8842166666667;12.513;1.92
st3;78.8950833333333;12.2501;7.68
st4;78.8984166666667;12.2276166666667;8.25
st5;78.9063666666667;12.24185;8.25
st6;78.93735;12.1634333333333;11.43
st7;78.9039833333333;12.4357;4.53
st8;78.9161;12.1152833333333;11.18
st9;78.9241166666667;12.0681;12.47
