station;layer (cm);fraction (µm);Adercotryma glomeratum;Ammodiscus sp.;Ammonia sp.;Ammotium cassis;Astrononion gallowayi;Astrononion sp.;Baculogypsinoides sp.;Bolivina pseudopunctata;Buccella frigida;Buccella sp.;Capsammina bowmanni;Cassidulina neoteretis;Cassidulina reniforme;Cassidulina sp.;Cassidulina sp. morphotype 1;Cassidulina sp. morphotype 2;Cibicidoides lobatulus;Cornuspira foliacea;Cornuspira involvens;Cornuspira sp.;Cuneata arctica;Dentalina ittai;Discorbina sp.;Discorbinella bertheloti;Eggerella advena;Elphidium bartletti;Elphidium clavatum;Elphidium sp.;Epistominella exigua;Eponides sp.;Fissurina sp.;Globobulimina auriculata;Globobulimina sp.;Globocassidulina sp.;Glomospira sp.;Haplophragmoides sp.;Hippocrepina sp. ;Hormosina globulifera;Hyalinonetrion sp.;Islandiella helenae;Islandiella norcrossi;Islandiella sp.;Labrospira crassimargo;Lagena striata;Lagenammina atlantica;Leptohalysis scottii ;Lotostomoides calomorpha;Melonis cf. barleeanus;Miliolinella circularis;Miliolinella sp.;Miliolinella sp. (juvenile);Nonion commune;Nonion sp.;Nonionella digitata;Nonionella turgida;Nonionellina labradorica;Paratrochammina sp.;Procerolagena gracilis;Psammosphaera fusca;Pullenia cf. osloensis;Pyrgo williamsoni;Pyrulina cylindroides;Pyrulina sp.;Quinqueloculina arctica;Quinqueloculina seminula;Quinqueloculina stalkeri;Recurvoides turbinatus;Reophax catella;Reophax fusiformis;Reophax scorpiurus;Reophax sp. ;Robertina arctica;Saccammina cf. sphaerica;Silicosigmoilina groenlandica;Siphonaperta agglutinata;Spiroplectammina biformis;Stainforthia feylingi;Stainforthia loeblichi;Textularia earlandi;Textularia torquata;Trifarina fluens;Triloculina oblonga;Triloculina trihedra;Trochammina inflata;Trochammina sp.
St2;0.0-0.5 ;100-125;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;210.63;0.00;0.63;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.57;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.26;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;7.23;0.00;0.00;13.20;0.00;0.00;0.00;0.00;0.00;0.00
St2;0.5-1.0;100-125;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;16.98;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.63;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.63;0.00;0.00;0.00;0.00;0.00;0.00
St3;0.0-0.5;100-125;0.00;0.00;0.00;0.00;0.31;0.00;0.00;0.31;0.00;0.00;0.00;0.00;13.83;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.94;0.94;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.63;1.26;0.00;0.00;0.00;0.00;0.63;0.00;0.00;6.60;0.00;0.00;0.00;0.00;0.00;0.00;0.00;23.89;0.00;0.00;0.31;0.00;0.31;0.63;0.00;0.00;0.63;0.63;0.00;0.00;0.31;0.00;0.00;0.00;0.00;0.00;0.94;10.06;0.00;1.57;26.41;0.00;0.00;0.00;0.00;0.00;0.00
St3;0.5-1.0;100-125;0.63;0.00;0.00;0.00;0.00;1.57;0.00;0.31;0.00;0.00;0.00;0.00;2.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.63;0.00;0.00;0.00;0.00;0.00;0.00;0.94;0.00;0.00;0.00;0.00;0.00;0.31;0.31;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.94;0.00;0.00;6.60;0.00;1.57;0.00;0.00;0.00;0.00;0.00;85.20;0.00;0.00;0.00;2.20;0.31;0.63;0.31;0.00;0.00;0.00;0.00;0.00;2.52;0.00;0.00;0.00;0.00;0.00;1.26;4.72;1.57;2.83;12.26;0.00;0.00;0.31;0.00;0.00;0.00
St4;0.0-0.5;100-125;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.31;0.63;0.00;0.00;0.00;6.92;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.26;0.00;0.00;0.00;0.00;0.00;0.00;1.89;0.63;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.63;0.00;0.00;0.00;0.00;0.31;0.00;0.31;9.12;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.26;0.00;0.00;0.00;0.00;0.00;0.00;0.31;0.00;0.00;1.26;0.00;0.00;0.31;0.00;0.00;0.00;0.00;0.00;0.00;15.09;0.00;0.31;24.52;0.00;0.00;0.00;0.00;0.00;0.00
St4;0.5-1.0;100-125;0.00;0.00;0.00;0.00;0.31;0.00;0.00;1.57;0.00;0.00;0.00;0.00;2.83;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.57;0.00;0.00;0.00;0.00;0.00;0.00;1.26;0.63;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.57;0.00;0.00;1.89;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3.77;0.00;0.00;0.00;0.63;0.31;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.31;0.00;0.00;0.00;8.80;2.52;0.94;20.75;0.00;0.00;0.00;0.00;0.00;0.00
St5;0.0-0.5;100-125;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.89;0.00;0.00;0.00;0.00;4.40;0.00;0.00;0.00;0.00;0.00;0.63;0.00;0.63;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3.77;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.63;0.00;0.63;37.73;0.00;0.00;3.77;0.00;0.00;0.00;0.00;19.49;0.00;1.26;0.00;181.08;30.18;0.00;0.00;0.00;5.66;1.89;0.63;0.00;2.52;0.00;0.00;0.00;0.00;0.63;0.00;10.06;0.63;0.00;20.12;0.00;0.00;0.00;0.00;0.63;0.00
St5;0.5-1.0;100-125;1.89;0.00;0.00;0.00;0.00;0.31;0.00;0.31;0.00;0.00;0.00;0.00;0.31;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.63;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.57;0.00;0.00;0.00;0.00;0.00;0.00;0.31;0.00;0.00;0.00;0.00;0.31;0.00;0.00;0.00;0.31;0.00;0.31;9.12;0.00;0.00;0.00;0.00;0.00;0.00;0.00;11.32;0.00;0.00;0.00;9.75;0.63;0.00;0.00;0.00;0.63;0.31;0.00;0.00;0.94;0.00;0.00;0.00;0.00;0.31;0.31;1.57;0.00;0.63;1.89;0.00;0.00;0.00;0.00;1.26;0.00
St6;0.0-0.5;100-125;30.18;1.89;0.00;0.00;0.00;1.26;0.00;1.26;0.00;0.00;0.00;0.00;8.17;0.00;0.00;0.00;0.63;0.00;0.00;0.00;2.52;0.00;0.00;0.00;2.52;0.00;0.00;0.00;4.40;0.00;0.00;0.00;0.00;0.00;1.89;0.00;0.00;0.00;0.00;0.00;3.77;0.00;0.00;0.00;1.89;0.00;0.00;70.42;0.00;1.89;0.00;0.00;0.00;0.00;0.00;3.14;0.00;0.63;0.00;87.40;0.00;0.00;0.00;0.00;4.40;2.52;1.89;0.00;4.40;0.00;0.00;0.00;0.00;0.00;0.00;17.61;0.00;5.66;33.32;0.00;0.00;0.00;0.00;0.63;0.00
St6;0.5-1.0;100-125;12.89;0.63;0.00;0.00;0.00;0.94;0.00;1.26;0.00;0.00;0.00;0.00;1.89;0.00;0.00;0.31;0.00;0.00;0.00;0.00;4.72;0.00;0.00;0.00;0.63;0.00;0.00;0.63;0.31;0.00;0.00;0.00;0.00;0.00;0.63;0.00;0.00;0.00;0.00;0.94;0.00;0.94;0.00;0.00;1.26;0.00;0.00;24.21;0.00;0.00;0.00;0.00;0.00;0.00;0.00;5.97;0.63;0.00;0.00;27.67;0.00;0.00;0.00;0.00;3.14;0.63;0.63;0.00;0.94;0.00;0.00;0.00;0.00;0.31;0.31;3.46;0.00;1.26;4.72;0.00;0.00;0.00;0.00;0.31;0.00
